especies,luna,naranja_bolsa,otra_bolsa,estrella,corazon,sonrisa,verde
amarillo,1,0,0,1,1,1,0
rosa claro,1,0,1,1,1,1,0
azul oscuro,1,0,1,1,1,1,0
naranja,1,1,0,1,1,1,0
rosa,1,0,1,1,1,1,0
rojo,1,0,1,1,1,1,0
morado,1,0,0,1,1,1,0
rosa mexicano,1,0,1,1,1,1,0
verde claro,1,0,1,1,0,1,0
azul claro,1,0,1,1,0,1,0
azul cielo,1,0,1,1,0,1,0
verde menta,1,0,0,1,0,1,1
